term,definition
Newton's First Law,An object at rest stays at rest and an object in motion stays in motion unless acted upon by a net force
Newton's Second Law,Net force equals mass times acceleration (F = ma)
Newton's Third Law,For every action there is an equal and opposite reaction
Velocity,The rate of change of position; a vector with magnitude (speed) and direction
Acceleration,The rate of change of velocity
Momentum,Mass times velocity; a conserved vector quantity in isolated systems
Kinetic energy,Energy of motion equal to one-half mass times velocity squared
Potential energy,Stored energy that depends on an object's position or configuration
Friction,A force that opposes relative motion between two surfaces in contact
Work,Force applied over a distance; equal to the change in energy
